SHOW NAME,COUNTRY/REGION,YEAR,EPISODES,RATINGS,SUMMARY,POSTER
PRODUCE 101 CHINA,China,2018,10,7.9,Produce 101 China is a girl group survival program based on the original Korean survival program Produce 101.,https://i.mydramalist.com/Ld3Qgc.jpg
WE GOT MARRIED GLOBAL EDITION: SEASON 1,South Korea,2013,15,8,"A global edition spinoff of the widely popular We Got Married, get to see how the on-screen virtual marriage between celebrities from different countries work out through weekly missions and candid interviews.",https://i.mydramalist.com/2Nll2c.jpg
KING OF MASK SINGER,South Korea,2015,250,8.8,"King of Mask Singer is a South Korean singing competition program starting Celebrities. Each competition lasts for two episodes, with the singers competing one-on-one in three elimination rounds. They are given elaborate…",https://i.mydramalist.com/OrLpxc.jpg
AFTER SCHOOL CLUB,South Korea,2013,450,8.5,After School Club features various musical guests of South Korea and the series is directed at an international audience so the principal language is English with Korean subtitles and translations produced on air. It…,https://i.mydramalist.com/rbNPDc.jpg
SHINEE'S ONE FINE DAY: SEASON 1,South Korea,2013,10,9.1,"SHINee is first one do be in One Fine Day. All members have choice to leave somewhere they want, but they have to take care of everything.",https://i.mydramalist.com/W18xRc.jpg
"WE’LL SHOW YOU, EXO!",South Korea,2018,5,9.4,"EXO's New Variety Show is coming ,with Lee Soo Geun as MC. On this show we'll see Exo's members playing games, dancing, answers questions and have fun!",https://i.mydramalist.com/Pwk7Zc.jpg
UNPRETTY RAPSTAR 2,South Korea,2015,10,7.8,The second season of the music competition program focusing on female rappers.,https://i.mydramalist.com/45J6Qc.jpg
"VILLAGE SURVIVAL, THE EIGHT",South Korea,2018,6,8.7,"Village Survival, the Eight is a mystery thriller variety show that is set in the countryside. The stars have to stay together for 24 hours and try to solve a mystery that lies within the village. During their time there,…",https://i.mydramalist.com/VQbWJc.jpg
REAL GOT7: SEASON 4,South Korea,2017,10,9.1,"It's the fourth season of the Reality Show ""Real GOT7""",https://i.mydramalist.com/7n47Rc.jpg
MBLAQ'S HELLO BABY,South Korea,2012,12,8.6,Hello Baby is South Korean reality show where celebrities experience parenthood by raising children ages 5 and under. Fifth season is global season because all babies multi-cultural children. MBLAQ have to take care…,https://i.mydramalist.com/oVBlOc.jpg
QING CHUN YOU NI,China,2019,12,8,A survival show of 100 contestants where 9 people end up debuting in a group called UNINE.,https://i.mydramalist.com/10Lbyc.jpg
SISTERS SLAM DUNK: SEASON 2,South Korea,2017,16,8.6,"Season 2 of the program focused primarily on the girl group project, which was Min Hyo Rin's dream in season 1. The show followed seven members, Kang Ye Won, Han Chae Young, Hong Jin Young, Minzy and Jeon So Mi, with…",https://i.mydramalist.com/rkJLDc.jpg
SEVENTEEN PROJECT: BIG DEBUT PLAN,South Korea,2015,7,8.9,,https://i.mydramalist.com/KDWJJc.jpg
FAMILY OUTING: SEASON 1,South Korea,2008,85,9.1,"Family Outing was a South Korean comedy-variety show; a part of SBS's Good Sunday lineup. It first aired on June 15, 2008, and was one of the top rated programs on Sunday Korean television. The format of the show called…",https://i.mydramalist.com/gW7eWc.jpg
WINNER TV,South Korea,2013,10,9,YG’s kpop boy group Winner own reality program show.,https://i.mydramalist.com/JpLemc.jpg
WE GOT MARRIED: SEASON 1,South Korea,2008,55,8.3,"The show pairs up Korean celebrities to show what life would be like if they were married. Each week, couples have assigned missions to complete, with candid interviews of the participants to reveal their thoughts and…",https://i.mydramalist.com/7nEEec.jpg
I CAN SEE YOUR VOICE: SEASON 5,South Korea,2018,13,8.9,"“I Can See Your Voice” is a program with the premise that there are a number of people in a group, some of whom can sing and some who can’t. Professional singers will then look only at hints and the outward appearance…",https://i.mydramalist.com/jrqVrc.jpg
YOUTH OVER FLOWERS: AFRICA,South Korea,2016,7,8.8,"Ahn Jaehong, Ryu Junyeol, and Go Kyungpyo were surprised by Youth Over Flowers team during the last day of their Reply 1988's celebratory vacation in Phuket, Thailand and were taken to Namibia. Park Bogum who had returned…",https://i.mydramalist.com/xkzdzc.jpg
TERRACE HOUSE: BOYS X GIRLS NEXT DOOR,Japan,2012,98,8.7,Six strangers in one house for the summer.,https://i.mydramalist.com/Reo0Pc.jpg
PLEASE TAKE CARE OF MY REFRIGERATOR,South Korea,2014,250,8.4,"South Korean cooking program on JTBC. In each episode, two celebrity guests have their refrigerators brought to the filming studio. The hosts go through each refrigerator, with the hosts, chefs, and guests commenting…",https://i.mydramalist.com/0yYoNc.jpg
THE GENIUS: RULES OF THE GAME,South Korea,2013,12,9,The Genius brings together 13 contestants to compete for big sum of money in games involving intelligence. Every episode one of contestants gets eliminated.,https://i.mydramalist.com/2NlEwc.jpg
